id,forecastVolum
1,267
2,341
3,153
4,249
5,378
6,188
7,438
8,203
9,2249
10,333
11,667
12,191
13,301
14,311
15,636
16,400
17,285
18,262
19,535
20,93
21,287
22,233
23,308
24,307
25,223
26,220
27,662
28,416
29,858
30,306
31,6259
32,730
33,1237
34,406
35,692
36,693
37,1094
38,714
39,584
40,924
41,1064
42,243
43,368
44,504
45,150
46,305
47,245
48,315
49,469
50,159
51,411
52,170
53,1555
54,225
55,472
56,142
57,404
58,350
59,414
60,274
61,240
62,131
63,502
64,181
65,266
66,267
67,132
68,253
69,122
70,92
71,406
72,273
73,299
74,151
75,2404
76,351
77,807
78,283
79,340
80,421
81,959
82,476
83,466
84,414
85,286
86,130
87,209
88,152
89,182
90,3912
91,504
92,73
93,1483
94,1706
95,3441
96,1886
97,1335
98,2209
99,1900
100,894
101,3395
102,4431
103,1271
104,1417
105,1614
106,430
107,894
108,268
109,1841
110,436
111,302
112,503
113,482
114,57
115,997
116,1254
117,1589
118,538
119,5628
120,676
121,1440
122,850
123,2112
124,2717
125,805
126,1192
127,1327
128,330
129,297
130,621
131,575
132,344
133,1345
134,243
135,200
136,1380
137,352
138,415
139,1283
140,340
141,1211
142,156
143,1311
144,260
145,841
146,887
147,929
148,318
149,228
150,220
151,346
152,128
153,365
154,238
155,279
156,59
157,25
158,42
159,204
160,367
161,258
162,42
163,178
164,82
165,745
166,177
167,116
168,224
169,403
170,200
171,194
172,87
173,31
174,66
175,115
176,19
177,750
178,288
179,231
180,397
181,820
182,835
183,880
184,339
185,702
186,272
187,1222
188,740
189,616
190,861
191,795
192,922
193,934
194,385
195,224
196,358
197,335
198,117
199,547
200,246
201,218
202,43
203,958
204,1477
205,1649
206,400
207,653
208,529
209,2079
210,1127
211,1015
212,1705
213,1156
214,1010
215,923
216,692
217,214
218,291
219,438
220,98
221,88
222,410
223,232
224,117
225,1196
226,727
227,1576
228,513
229,981
230,802
231,843
232,874
233,1303
234,2330
235,1134
236,952
237,994
238,512
239,201
240,642
241,1299
242,104
243,50
244,473
245,305
246,36
247,763
248,620
249,1185
250,735
251,852
252,562
253,579
254,589
255,1469
256,1480
257,537
258,573
259,744
260,294
261,355
262,398
263,929
264,235
265,85
266,960
267,532
268,39
269,1434
270,1048
271,1838
272,734
273,843
274,699
275,1116
276,905
277,1736
278,2129
279,729
280,966
281,1064
282,444
283,274
284,452
285,830
286,399
287,284
288,1413
289,841
290,189
291,2403
292,2204
293,3144
294,798
295,1781
296,897
297,2789
298,1338
299,2265
300,5020
301,1534
302,1781
303,2182
304,669
305,785
306,940
307,1097
308,584
309,541
310,424
311,460
312,682
313,709
314,888
315,1156
316,660
317,397
318,142
319,1304
320,343
321,1424
322,1043
323,644
324,350
325,433
326,290
327,184
328,396
329,563
330,67
331,44
332,1019
333,633
334,194
335,1371
336,316
337,1701
338,698
339,1198
340,436
341,581
342,353
343,1867
344,1325
345,485
346,416
347,1158
348,351
349,733
350,184
351,648
352,855
353,1352
354,806
355,377
356,206
357,1516
358,1382
359,1700
360,772
361,670
362,410
363,1839
364,939
365,1753
366,2396
367,974
368,1001
369,1097
370,548
371,340
372,741
373,749
374,205
375,245
376,634
377,627
378,68
379,1151
380,857
381,2450
382,1386
383,432
384,303
385,1142
386,485
387,2149
388,1806
389,533
390,266
391,457
392,268
393,581
394,285
395,813
396,493
397,357
398,463
399,572
400,916
401,1375
402,751
403,1882
404,490
405,817
406,300
407,1374
408,448
409,1897
410,1628
411,829
412,640
413,610
414,527
415,662
416,494
417,627
418,849
419,285
420,249
421,73
422,68
423,329
424,404
425,506
426,57
427,398
428,112
429,595
430,302
431,300
432,289
433,638
434,314
435,373
436,195
437,114
438,159
439,119
440,89
441,366
442,455
443,426
444,231
445,1306
446,906
447,1257
448,416
449,544
450,270
451,1398
452,457
453,1573
454,1497
455,1028
456,737
457,525
458,474
459,466
460,333
461,463
462,456
463,375
464,146
465,155
466,244
467,353
468,335
469,783
470,133
471,321
472,101
473,904
474,172
475,772
476,615
477,757
478,212
479,188
480,169
481,143
482,57
483,174
484,136
485,26
486,48
487,51
488,22
489,136
490,340
491,547
492,196
493,68
494,72
495,189
496,69
497,506
498,301
499,57
500,134
501,140
502,32
503,97
504,61
505,115
506,71
507,769
508,282
509,103
510,706
511,719
512,412
513,655
514,122
515,1264
516,162
517,1711
518,292
519,444
520,375
521,1556
522,400
523,359
524,553
525,283
526,277
527,253
528,80
529,417
530,185
531,99
532,237
533,485
534,247
535,403
536,117
537,705
538,152
539,880
540,187
541,238
542,226
543,807
544,305
545,247
546,309
547,151
548,169
549,161
550,67
551,822
552,347
553,162
554,869
555,756
556,409
557,677
558,196
559,1347
560,202
561,1420
562,292
563,404
564,373
565,1250
566,496
567,371
568,536
569,303
570,301
571,292
572,91
573,90
574,27
575,18
576,85
577,56
578,67
579,132
580,16
581,107
582,19
583,220
584,12
585,92
586,52
587,209
588,37
589,33
590,17
591,29
592,15
593,36
594,11
595,663
596,214
597,198
598,642
599,691
600,511
601,670
602,181
603,878
604,155
605,1678
606,329
607,513
608,525
609,1493
610,514
611,478
612,356
613,437
614,222
615,405
616,132
617,304
618,146
619,93
620,156
621,258
622,195
623,361
624,87
625,459
626,99
627,644
628,139
629,223
630,201
631,697
632,309
633,205
634,194
635,91
636,85
637,114
638,45
639,474
640,232
641,160
642,717
643,541
644,331
645,618
646,140
647,1111
648,186
649,1162
650,282
651,402
652,403
653,993
654,514
655,383
656,303
657,303
658,186
659,289
660,114
661,547
662,249
663,65
664,482
665,561
666,371
667,488
668,71
669,1304
670,138
671,1263
672,215
673,453
674,324
675,1534
676,317
677,407
678,355
679,249
680,216
681,227
682,84
683,203
684,667
685,137
686,57
687,440
688,1162
689,1881
690,458
691,2268
692,1998
693,1473
694,480
695,1161
696,4127
697,657
698,527
699,940
700,304
701,386
702,161
703,644
704,304
705,370
706,187
707,297
708,44
709,547
710,327
711,678
712,142
713,142
714,77
715,935
716,277
717,519
718,502
719,388
720,173
721,345
722,199
723,48
724,102
725,460
726,56
727,610
728,131
729,56
730,83
731,144
732,125
733,262
734,53
735,103
736,30
737,362
738,73
739,174
740,182
741,234
742,137
743,119
744,74
745,34
746,80
747,111
748,24
749,215
750,82
751,115
752,398
753,496
754,262
755,743
756,193
757,1627
758,361
759,876
760,288
761,495
762,353
763,636
764,630
765,462
766,690
767,236
768,309
769,217
770,79
771,192
772,369
773,493
774,510
775,798
776,245
777,712
778,303
779,1677
780,322
781,575
782,303
783,828
784,731
785,580
786,1226
787,586
788,358
789,550
790,523
791,551
792,299
793,62
794,145
795,95
796,31
797,309
798,156
799,237
800,79
801,553
802,165
803,431
804,239
805,190
806,328
807,357
808,187
809,308
810,163
811,109
812,125
813,85
814,71
815,190
816,231
817,331
818,166
819,725
820,479
821,1431
822,724
823,5275
824,1349
825,1286
826,927
827,1207
828,1295
829,859
830,847
831,1141
832,804
833,901
834,414
835,338
836,543
837,278
838,595
839,437
840,330
841,577
842,509
843,1284
844,534
845,2838
846,464
847,963
848,460
849,1059
850,1192
851,930
852,1441
853,666
854,727
855,859
856,280
857,539
858,625
859,111
860,328
861,180
862,83
863,315
864,358
865,482
866,223
867,1437
868,246
869,698
870,274
871,422
872,600
873,688
874,691
875,325
876,381
877,275
878,131
879,210
880,191
881,157
882,12
883,24
884,200
885,41
886,63
887,317
888,119
889,743
890,28
891,305
892,43
893,237
894,160
895,357
896,52
897,40
898,68
899,105
900,19
901,34
902,36
903,166
904,271
905,116
906,120
907,415
908,267
909,507
910,171
911,2517
912,286
913,621
914,265
915,439
916,402
917,645
918,489
919,395
920,521
921,271
922,140
923,137
924,127
925,244
926,120
927,196
928,365
929,311
930,331
931,806
932,276
933,1987
934,141
935,791
936,230
937,678
938,559
939,1096
940,503
941,466
942,418
943,691
944,137
945,192
946,301
947,245
948,61
949,39
950,273
951,244
952,123
953,201
954,40
955,371
956,36
957,221
958,65
959,123
960,107
961,97
962,122
963,110
964,96
965,68
966,112
967,114
968,45
969,99
970,90
971,56
972,13
973,202
974,407
975,375
976,87
977,322
978,58
979,548
980,325
981,254
982,525
983,597
984,263
985,182
986,149
987,33
988,32
989,68
990,23
991,35
992,86
993,58
994,28
995,234
996,285
997,481
998,39
999,142
1000,39
1001,433
1002,189
1003,361
1004,535
1005,459
1006,276
1007,306
1008,107
1009,76
1010,36
1011,122
1012,54
1013,250
1014,107
1015,47
1016,103
1017,718
1018,759
1019,751
1020,108
1021,731
1022,166
1023,1866
1024,546
1025,439
1026,1638
1027,1019
1028,534
1029,457
1030,367
1031,122
1032,296
1033,221
1034,74
1035,50
1036,200
1037,352
1038,28
1039,722
1040,471
1041,1556
1042,890
1043,401
1044,303
1045,580
1046,272
1047,1824
1048,1435
1049,799
1050,363
1051,470
1052,305
1053,654
1054,132
1055,451
1056,355
1057,212
1058,294
1059,172
1060,144
1061,582
1062,805
1063,631
1064,173
1065,493
1066,157
1067,885
1068,617
1069,673
1070,1114
1071,1111
1072,568
1073,452
1074,262
1075,111
1076,219
1077,316
1078,78
1079,178
1080,127
1081,33
1082,37
1083,170
1084,181
1085,357
1086,60
1087,207
1088,85
1089,524
1090,110
1091,354
1092,251
1093,272
1094,147
1095,97
1096,153
1097,38
1098,69
1099,100
1100,31
1123,417
1124,230
1125,45
1126,64
1127,637
1128,650
1129,449
1130,59
1131,1071
1132,215
1133,1203
1134,388
1135,367
1136,550
1137,863
1138,448
1139,408
1140,555
1141,81
1142,323
1143,164
1144,51
1145,299
1146,344
1147,197
1148,380
1149,607
1150,259
1151,605
1152,150
1153,1013
1154,190
1155,523
1156,181
1157,513
1158,502
1159,376
1160,326
1161,377
1162,196
1163,170
1164,393
1165,246
1166,226
1167,166
1168,292
1169,156
1170,53
1171,708
1172,1004
1173,843
1174,260
1175,626
1176,464
1177,1043
1178,441
1179,672
1180,1642
1181,449
1182,380
1183,767
1184,357
1185,108
1186,368
1187,620
1188,79
1189,34
1190,93
1191,174
1192,23
1193,170
1194,212
1195,407
1196,96
1197,42
1198,25
1199,112
1200,155
1201,213
1202,408
1203,59
1204,210
1205,642
1206,21
1207,60
1208,112
1209,340
1210,79
1211,80
1212,409
1213,349
1214,76
1215,1212
1216,464
1217,678
1218,632
1219,550
1220,251
1221,611
1222,339
1223,1186
1224,1073
1225,352
1226,313
1227,513
1228,171
1229,122
1230,637
1231,681
1232,97
1233,265
1234,785
1235,722
1236,178
1237,1897
1238,879
1239,961
1240,452
1241,1019
1242,363
1243,1363
1244,528
1245,1224
1246,1914
1247,849
1248,646
1249,1199
1250,407
1251,197
1252,1509
1253,974
1254,172
1255,19
1256,670
1257,30
1258,73
1259,319
1260,112
1261,285
1262,100
1263,278
1264,26
1265,341
1266,57
1267,382
1268,451
1269,204
1270,258
1271,217
1272,57
1273,112
1274,404
1275,129
1276,20
1277,42
1278,122
1279,85
1280,39
1281,452
1282,171
1283,278
1284,116
1285,182
1286,131
1287,291
1288,118
1289,473
1290,389
1291,109
1292,56
1293,212
1294,79
1295,24
1296,612
1297,323
1298,10
1299,533
1300,59
1301,74
1302,26
1303,385
1304,430
1305,354
1306,138
1307,259
1308,131
1309,685
1310,312
1311,309
1312,863
1313,245
1314,278
1315,355
1316,90
1317,36
1318,72
1319,135
1320,13
1321,115
1322,103
1323,64
1324,60
1325,243
1326,203
1327,144
1328,39
1329,567
1330,221
1331,394
1332,93
1333,124
1334,117
1335,390
1336,244
1337,339
1338,133
1339,68
1340,109
1341,276
1342,61
1343,172
1344,172
1345,110
1346,236
1347,213
1348,84
1349,269
1350,125
1351,1616
1352,203
1353,452
1354,84
1355,212
1356,197
1357,409
1358,210
1359,156
1360,163
1361,484
1362,58
1363,189
1364,174
1365,265
1366,243
1367,166
1368,210
1369,521
1370,276
1371,713
1372,237
1373,5266
1374,538
1375,1350
1376,284
1377,592
1378,503
1379,1149
1380,511
1381,392
1382,870
1383,1223
1384,185
1385,254
1386,538
1387,98
1388,191
1389,153
1390,238
1391,229
1392,83
1393,220
1394,103
1395,1150
1396,126
1397,294
1398,67
1399,260
1400,185
1401,258
1402,158
1403,132
1404,71
1405,321
1406,103
1407,171
1408,142
1409,106
1410,151
1411,92
1412,69
1413,229
1414,154
1415,207
1416,107
1417,1816
1418,224
1419,686
1420,149
1421,332
1422,268
1423,842
1424,250
1425,262
1426,273
1427,256
1428,84
1429,136
1430,127
1431,139
1432,2799
1433,467
1434,53
1435,1392
1436,1589
1437,2549
1438,1353
1439,1336
1440,1455
1441,2094
1442,719
1443,3210
1444,2899
1445,1488
1446,1020
1447,1214
1448,458
1449,887
1450,225
1451,1063
1452,456
1453,116
1454,279
1455,276
1456,33
1457,536
1458,690
1459,821
1460,296
1461,2861
1462,348
1463,936
1464,338
1465,1382
1466,1386
1467,443
1468,562
1469,734
1470,171
1471,207
1472,262
1473,239
1474,241
1475,1126
1476,163
1477,151
1478,1319
1479,283
1480,291
1481,979
1482,257
1483,734
1484,99
1485,987
1486,184
1487,684
1488,620
1489,728
1490,215
1491,144
1492,175
1493,282
1494,132
1495,269
1496,157
1497,158
1498,36
1499,17
1500,48
1501,116
1502,166
1503,149
1504,33
1505,82
1506,44
1507,533
1508,103
1509,78
1510,124
1511,250
1512,100
1513,98
1514,43
1515,25
1516,38
1517,61
1518,18
1519,460
1520,195
1521,145
1522,255
1523,475
1524,399
1525,444
1526,214
1527,363
1528,150
1529,785
1530,389
1531,358
1532,508
1533,460
1534,463
1535,404
1536,196
1537,141
1538,204
1539,167
1540,93
1541,434
1542,155
1543,145
1544,34
1545,640
1546,958
1547,1205
1548,311
1549,455
1550,320
1551,2097
1552,659
1553,787
1554,1136
1555,951
1556,532
1557,521
1558,459
1559,147
1560,169
1561,239
1562,92
1563,42
1564,234
1565,128
1566,76
1567,759
1568,387
1569,931
1570,247
1571,464
1572,389
1573,588
1574,377
1575,796
1576,1023
1577,741
1578,377
1579,438
1580,307
1581,136
1582,403
1583,611
1584,80
1585,32
1586,270
1587,158
1588,32
1589,439
1590,317
1591,673
1592,444
1593,438
1594,295
1595,400
1596,262
1597,1042
1598,755
1599,333
1600,267
1601,327
1602,176
1603,237
1604,191
1605,455
1606,175
1607,57
1608,580
1609,303
1610,32
1611,1064
1612,633
1613,1012
1614,422
1615,397
1616,353
1617,945
1618,380
1619,1173
1620,1016
1621,463
1622,448
1623,448
1624,306
1625,197
1626,263
1627,380
1628,360
1629,155
1630,764
1631,423
1632,115
1633,1102
1634,895
1635,1413
1636,417
1637,769
1638,405
1639,1736
1640,491
1641,1316
1642,1652
1643,868
1644,607
1645,783
1646,369
1647,447
1648,407
1649,389
1650,384
1651,356
1652,256
1653,280
1654,578
1655,399
1656,405
1657,743
1658,417
1659,193
1660,68
1661,886
1662,153
1663,951
1664,534
1665,344
1666,155
1667,240
1668,126
1669,119
1670,212
1671,315
1672,53
1673,31
1674,728
1675,456
1676,169
1677,1562
1678,260
1679,1596
1680,462
1681,1067
1682,299
1683,612
1684,192
1685,1752
1686,942
1687,426
1688,238
1689,575
1690,285
1691,690
1692,132
1693,423
1694,985
1695,534
1696,577
1697,263
1698,164
1699,1093
1700,833
1701,1231
1702,570
1703,451
1704,236
1705,1744
1706,469
1707,1415
1708,1382
1709,819
1710,431
1711,625
1712,426
1713,234
1714,419
1715,453
