id,forecastVolum
1,265
2,336
3,167
4,317
5,420
6,182
7,458
8,189
9,2318
10,346
11,644
12,183
13,310
14,364
15,610
16,429
17,315
18,274
19,587
20,127
21,302
22,262
23,322
24,311
25,219
26,214
27,658
28,416
29,971
30,301
31,7050
32,672
33,1362
34,406
35,715
36,746
37,1198
38,715
39,596
40,917
41,1074
42,246
43,362
44,515
45,167
46,331
47,231
48,431
49,497
50,162
51,445
52,170
53,1643
54,203
55,499
56,142
57,411
58,388
59,444
60,301
61,269
62,136
63,488
64,179
65,288
66,292
67,123
68,215
69,134
70,63
71,322
72,224
73,321
74,134
75,2199
76,306
77,706
78,222
79,338
80,374
81,874
82,411
83,374
84,360
85,278
86,117
87,169
88,135
89,198
90,3779
91,507
92,129
93,1574
94,1861
95,3996
96,1822
97,1515
98,2708
99,2298
100,998
101,3920
102,5025
103,1403
104,1448
105,1756
106,478
107,1002
108,272
109,1832
110,517
111,349
112,495
113,499
114,97
115,1109
116,1371
117,1879
118,578
119,6771
120,656
121,1586
122,974
123,2047
124,2690
125,990
126,1254
127,1437
128,342
129,336
130,590
131,605
132,390
133,1273
134,227
135,185
136,1270
137,407
138,411
139,1245
140,311
141,1266
142,146
143,1241
144,221
145,773
146,900
147,1006
148,302
149,216
150,251
151,387
152,168
153,366
154,241
155,256
156,63
157,11
158,36
159,195
160,370
161,249
162,33
163,223
164,67
165,613
166,173
167,135
168,259
169,382
170,200
171,163
172,108
173,20
174,63
175,103
176,2
177,713
178,305
179,240
180,393
181,744
182,818
183,802
184,302
185,717
186,257
187,1223
188,750
189,596
190,842
191,731
192,902
193,857
194,351
195,240
196,306
197,332
198,135
199,588
200,288
201,243
202,7
203,995
204,1394
205,1521
206,508
207,736
208,522
209,2404
210,1005
211,1199
212,1706
213,1047
214,901
215,868
216,664
217,228
218,262
219,526
220,100
221,102
222,315
223,241
224,146
225,1173
226,717
227,1425
228,655
229,914
230,696
231,711
232,776
233,1157
234,2016
235,1097
236,843
237,928
238,570
239,161
240,478
241,1116
242,99
243,62
244,475
245,317
246,36
247,812
248,618
249,1116
250,740
251,820
252,506
253,565
254,616
255,1382
256,1480
257,574
258,656
259,817
260,268
261,397
262,346
263,862
264,246
265,118
266,1034
267,543
268,45
269,1543
270,1250
271,1785
272,782
273,964
274,684
275,1235
276,1042
277,1703
278,2084
279,841
280,1100
281,1094
282,484
283,297
284,498
285,936
286,478
287,290
288,1123
289,809
290,192
291,2150
292,2350
293,2723
294,773
295,1681
296,825
297,2580
298,1220
299,2354
300,4974
301,1274
302,1711
303,2146
304,670
305,783
306,756
307,883
308,505
309,582
310,457
311,464
312,797
313,703
314,872
315,1229
316,726
317,461
318,150
319,1331
320,339
321,1423
322,1064
323,630
324,359
325,441
326,300
