id,forecastVolum
1,288
2,291
3,149
4,249
5,279
6,163
7,437
8,168
9,2469
10,301
11,652
12,154
13,331
14,281
15,689
16,330
17,287
18,260
19,657
20,88
21,265
22,265
23,407
24,421
25,238
26,308
27,621
28,451
29,1202
30,360
31,6695
32,755
33,1423
34,532
35,785
36,757
37,1230
38,651
39,588
40,1175
41,1494
42,272
43,396
44,606
45,133
46,280
47,199
48,308
49,341
50,131
51,351
52,159
53,1595
54,190
55,415
56,91
57,378
58,293
59,387
60,229
61,196
62,105
63,519
64,145
65,239
66,237
67,167
68,202
69,163
70,120
71,325
72,300
73,322
74,172
75,1764
76,327
77,991
78,294
79,405
80,530
81,1253
82,521
83,475
84,446
85,271
86,179
87,224
88,126
89,235
90,3876
91,591
92,180
93,1862
94,2071
95,4129
96,1974
97,1769
98,2841
99,2605
100,1041
101,3963
102,4296
103,1611
104,1403
105,2177
106,529
107,1118
108,316
109,1962
110,632
111,354
112,649
113,623
114,5
115,1163
116,1513
117,1879
118,719
119,4805
120,620
121,2279
122,905
123,2067
124,2369
125,1135
126,1242
127,1804
128,506
129,498
130,613
131,547
132,480
133,1287
134,183
135,180
136,1304
137,356
138,414
139,1287
140,267
141,1008
142,171
143,1154
144,227
145,848
146,794
147,834
148,237
149,207
150,249
151,387
152,167
153,333
154,241
155,377
156,83
157,37
158,31
159,192
160,376
161,341
162,63
163,305
164,120
165,987
166,185
167,153
168,218
169,510
170,126
171,160
172,115
173,79
174,81
175,107
176,46
177,759
178,387
179,301
180,492
181,954
182,745
183,747
184,371
185,835
186,359
187,1357
188,690
189,690
190,926
191,785
192,771
193,858
194,385
195,287
196,392
197,361
198,163
199,869
200,353
201,379
202,97
203,1298
204,1303
205,2316
206,716
207,937
208,575
209,2960
210,749
211,1649
212,2115
213,1326
214,555
215,740
216,704
217,359
218,317
219,652
220,203
221,329
222,304
223,274
224,295
225,1249
226,622
227,1850
228,664
229,741
230,771
231,951
232,1050
233,1418
234,2373
235,1399
236,820
237,1047
238,572
239,261
240,540
241,1243
242,228
243,117
244,502
245,325
246,59
247,731
248,588
249,1343
250,846
251,652
252,424
253,635
254,654
255,1574
256,1263
257,591
258,566
259,698
260,292
261,435
262,359
263,824
264,207
265,150
266,896
267,492
268,55
269,1303
270,1379
271,1925
272,656
273,719
274,684
275,1271
276,909
277,1814
278,1880
279,990
280,817
281,995
282,535
283,367
284,439
285,845
286,570
287,381
288,1474
289,799
290,285
291,2035
292,2693
293,2571
294,774
295,1919
296,747
297,2889
298,1368
299,3022
300,4253
301,1224
302,1853
303,1970
304,785
305,894
306,848
307,1049
308,608
309,608
310,459
311,508
312,889
313,566
314,810
315,1371
316,683
317,401
318,158
319,1586
320,347
321,1472
322,1023
323,683
324,342
325,414
326,294
327,203
328,389
329,549
330,88
331,27
332,1149
333,551
334,289
335,1520
336,439
337,2221
338,1005
339,1072
340,459
341,687
342,396
343,2243
344,1258
345,565
346,408
347,1230
348,480
349,977
350,155
351,530
352,1225
353,871
354,829
355,434
356,157
357,997
358,1344
359,965
360,988
361,601
362,458
363,1281
364,1130
365,1050
366,1798
367,1025
368,834
369,417
370,487
371,572
372,618
373,908
374,241
375,333
376,868
377,700
378,119
379,1121
380,1067
381,2168
382,1058
383,492
384,275
385,1292
386,539
387,1057
388,1351
389,663
390,282
391,493
392,341
393,677
394,299
395,997
396,521
397,370
398,440
399,548
400,1171
401,830
402,694
403,1824
404,514
405,779
406,276
407,1522
408,389
409,1933
410,1482
411,758
412,502
413,492
414,481
415,797
416,424
417,533
418,996
419,311
420,190
421,17
422,43
423,169
424,376
425,614
426,7
427,485
428,79
429,761
430,272
431,310
432,212
433,1054
434,253
435,248
436,226
437,110
438,161
439,79
440,78
441,375
442,464
443,393
444,414
445,950
446,1124
447,938
448,390
449,637
450,290
451,1133
452,409
453,1784
454,1453
455,1344
456,768
457,439
458,439
459,469
460,335
461,431
462,488
463,357
464,250
465,197
466,489
467,324
468,458
469,1172
470,183
471,349
472,127
473,1356
474,227
475,1512
476,1048
477,1389
478,320
479,281
480,263
481,232
482,95
483,244
484,223
485,32
486,53
487,49
488,4
489,169
490,382
491,593
492,168
493,70
494,84
495,190
496,75
497,605
498,276
499,71
500,201
501,181
502,23
503,127
504,61
505,119
506,96
507,603
508,242
509,55
510,595
511,509
512,352
513,608
514,98
515,1295
516,155
517,1761
518,223
519,330
520,316
521,1538
522,323
523,295
524,444
525,244
526,248
527,223
528,62
529,340
530,170
531,102
532,268
533,297
534,243
535,342
536,108
537,634
538,154
539,710
540,145
541,239
542,194
543,625
544,260
545,203
546,222
547,169
548,147
549,157
550,67
551,605
552,270
553,130
554,715
555,551
556,312
557,501
558,160
559,1213
560,165
561,1174
562,220
563,353
564,322
565,995
566,371
567,286
568,355
569,255
570,257
571,231
572,104
573,172
574,60
575,40
576,176
577,156
578,121
579,247
580,40
581,248
582,35
583,407
584,65
585,215
586,128
587,395
588,58
589,72
590,67
591,53
592,3
593,53
594,23
595,505
596,206
597,144
598,595
599,721
600,526
601,726
602,171
603,812
604,120
605,1461
606,227
607,598
608,484
609,1671
610,433
611,438
612,317
613,441
614,165
615,377
616,160
617,341
618,172
619,115
620,227
621,313
622,248
623,363
624,104
625,566
626,112
627,718
628,142
629,332
630,219
631,878
632,325
633,243
634,202
635,141
636,68
637,114
638,44
639,436
640,249
641,160
642,617
643,575
644,344
645,589
646,166
647,1129
648,191
649,1171
650,195
651,500
652,375
653,963
654,440
655,427
656,330
657,293
658,204
659,266
660,145
661,549
662,239
663,66
664,464
665,539
666,385
667,452
668,68
669,1151
670,145
671,1330
672,191
673,419
674,352
675,1531
676,293
677,377
678,323
679,213
680,210
681,188
682,63
683,276
684,844
685,156
686,96
687,578
688,1271
689,2513
690,590
691,3020
692,2509
693,1785
694,610
695,1584
696,4577
697,996
698,675
699,1146
700,400
701,495
702,159
703,677
704,485
705,513
706,237
707,411
708,53
709,565
710,458
711,664
712,135
713,173
714,97
715,1333
716,336
717,550
718,377
719,398
720,202
721,360
722,253
723,61
724,124
725,294
726,107
727,825
728,176
729,82
730,93
731,175
732,152
733,296
734,79
735,110
736,48
737,407
738,99
739,192
740,168
741,228
742,70
743,140
744,88
745,40
746,75
747,121
748,27
749,220
750,116
751,104
752,451
753,447
754,232
755,648
756,178
757,1186
758,351
759,731
760,241
761,498
762,319
763,756
764,471
765,480
766,661
767,298
768,353
769,189
770,148
771,220
772,367
773,488
774,611
775,627
776,222
777,682
778,298
779,1468
780,351
781,606
782,281
783,840
784,600
785,669
786,862
787,436
788,376
789,739
790,539
791,497
792,316
793,80
794,219
795,104
796,11
797,277
798,193
799,266
800,93
801,587
802,169
803,604
804,206
805,224
806,360
807,470
808,272
809,376
810,244
811,116
812,149
813,102
814,84
815,333
816,246
817,329
818,257
819,536
820,469
821,1469
822,748
823,4865
824,1034
825,1335
826,936
827,1374
828,1035
829,1200
830,802
831,1279
832,896
833,1109
834,418
835,357
836,519
837,274
838,431
839,343
840,514
841,645
842,639
843,1450
844,626
845,3294
846,374
847,1228
848,397
849,1257
850,1110
851,1137
852,916
853,783
854,879
855,1125
856,233
857,470
858,829
859,147
860,315
861,208
862,65
863,266
864,432
865,626
866,289
867,1532
868,304
869,904
870,296
871,645
872,684
873,771
874,670
875,340
876,471
877,368
878,131
879,242
880,284
881,194
882,16
883,37
884,167
885,37
886,74
887,318
888,109
889,703
890,32
891,322
892,43
893,237
894,158
895,355
896,54
897,40
898,81
899,130
900,8
901,98
902,52
903,201
904,288
905,142
906,119
907,379
908,272
909,579
910,175
911,2396
912,293
913,690
914,271
915,494
916,374
917,684
918,375
919,300
920,568
921,323
922,125
923,154
924,161
925,321
926,145
927,208
928,459
929,285
930,368
931,768
932,327
933,1974
934,161
935,889
936,216
937,742
938,739
939,1194
940,429
941,367
942,422
943,752
944,130
945,231
946,365
947,231
948,58
949,55
950,262
951,302
952,120
953,242
954,51
955,408
956,39
957,215
958,52
959,176
960,112
961,145
962,119
963,72
964,109
965,116
966,105
967,82
968,55
969,136
970,104
971,79
972,23
973,291
974,465
975,476
976,105
977,402
978,65
979,546
980,302
981,355
982,674
983,704
984,352
985,252
986,188
987,25
988,45
989,65
990,4
991,59
992,75
993,85
994,27
995,455
996,378
997,750
998,71
999,504
1000,61
1001,578
1002,358
1003,248
1004,1000
1005,886
1006,343
1007,296
1008,216
1009,122
1010,58
1011,262
1012,59
1013,149
1014,116
1015,56
1016,149
1017,672
1018,880
1019,886
1020,132
1021,616
1022,211
1023,1809
1024,467
1025,530
1026,1804
1027,977
1028,504
1029,438
1030,421
1031,158
1032,317
1033,230
1034,76
1035,35
1036,266
1037,347
1038,5
1039,1028
1040,343
1041,1977
1042,649
1043,651
1044,284
1045,568
1046,294
1047,1686
1048,1146
1049,726
1050,310
1051,367
1052,302
1053,763
1054,124
1055,364
1056,690
1057,166
1058,341
1059,218
1060,180
1061,670
1062,897
1063,803
1064,209
1065,470
1066,282
1067,925
1068,710
1069,854
1070,1058
1071,1243
1072,734
1073,495
1074,268
1075,185
1076,265
1077,282
1078,106
1079,221
1080,149
1081,11
1082,12
1083,202
1084,297
1085,450
1086,54
1087,236
1088,117
1089,770
1090,112
1091,420
1092,250
1093,428
1094,127
1095,66
1096,223
1097,37
1098,104
1099,115
1100,29
1123,438
1124,235
1125,39
1126,37
1127,529
1128,594
1129,530
1130,93
1131,1025
1132,236
1133,1277
1134,317
1135,458
1136,549
1137,952
1138,287
1139,364
1140,512
1141,119
1142,331
1143,180
1144,74
1145,276
1146,299
1147,125
1148,304
1149,633
1150,244
1151,546
1152,139
1153,887
1154,180
1155,521
1156,135
1157,532
1158,457
1159,325
1160,274
1161,295
1162,190
1163,191
1164,324
1165,235
1166,207
1167,214
1168,280
1169,204
1170,91
1171,872
1172,1039
1173,824
1174,280
1175,712
1176,472
1177,1468
1178,532
1179,799
1180,1535
1181,623
1182,509
1183,720
1184,480
1185,135
1186,394
1187,650
1188,102
1189,34
1190,79
1191,131
1192,6
1193,167
1194,259
1195,430
1196,94
1197,23
1198,29
1199,102
1200,120
1201,237
1202,427
1203,80
1204,220
1205,571
1206,2
1207,54
1208,98
1209,314
1210,76
1211,140
1212,435
1213,350
1214,137
1215,933
1216,486
1217,583
1218,742
1219,570
1220,220
1221,647
1222,264
1223,1261
1224,943
1225,376
1226,212
1227,575
1228,204
1229,163
1230,761
1231,466
1232,126
1233,309
1234,696
1235,614
1236,219
1237,1834
1238,1137
1239,1037
1240,515
1241,1131
1242,382
1243,1259
1244,505
1245,1182
1246,1606
1247,993
1248,757
1249,1231
1250,430
1251,263
1252,1466
1253,879
1254,167
1255,17
1256,903
1257,13
1258,154
1259,415
1260,184
1261,449
1262,132
1263,547
1264,96
1265,569
1266,147
1267,576
1268,639
1269,345
1270,333
1271,411
1272,90
1273,243
1274,502
1275,169
1276,8
1277,63
1278,152
1279,126
1280,27
1281,492
1282,256
1283,428
1284,181
1285,232
1286,190
1287,349
1288,159
1289,666
1290,479
1291,195
1292,59
1293,269
1294,101
1295,32
1296,638
1297,360
1298,8
1299,750
1300,55
1301,89
1302,4
1303,578
1304,557
1305,605
1306,207
1307,254
1308,143
1309,1015
1310,369
1311,450
1312,703
1313,403
1314,356
1315,437
1316,96
1317,42
1318,70
1319,187
1320,7
1321,133
1322,121
1323,76
1324,31
1325,251
1326,221
1327,142
1328,38
1329,511
1330,225
1331,357
1332,125
1333,150
1334,130
1335,351
1336,242
1337,324
1338,126
1339,102
1340,132
1341,264
1342,58
1343,429
1344,827
1345,277
1346,290
1347,409
1348,265
1349,899
1350,295
1351,5108
1352,561
1353,869
1354,327
1355,961
1356,563
1357,1121
1358,824
1359,597
1360,448
1361,1182
1362,254
1363,789
1364,653
1365,636
1366,844
1367,513
1368,626
1369,1679
1370,926
1371,1568
1372,711
1373,10161
1374,1124
1375,2847
1376,799
1377,1407
1378,1268
1379,1934
1380,1360
1381,1132
1382,1420
1383,2186
1384,518
1385,789
1386,1428
1387,283
1388,610
1389,293
1390,416
1391,923
1392,309
1393,1014
1394,310
1395,2319
1396,343
1397,711
1398,272
1399,879
1400,714
1401,809
1402,379
1403,330
1404,270
1405,739
1406,248
1407,642
1408,475
1409,255
1410,346
1411,247
1412,206
1413,612
1414,385
1415,465
1416,251
1417,3071
1418,415
1419,1154
1420,400
1421,489
1422,642
1423,1364
1424,593
1425,505
1426,471
1427,524
1428,219
1429,366
1430,343
1431,832
1432,5292
1433,921
1434,1115
1435,4744
1436,2545
1437,6361
1438,2747
1439,5571
1440,3432
1441,5123
1442,1260
1443,6278
1444,6862
1445,3903
1446,2416
1447,2563
1448,1126
1449,1496
1450,982
1451,4213
1452,1122
1453,1406
1454,1289
1455,865
1456,696
1457,3807
1458,4862
1459,5346
1460,1425
1461,8361
1462,1367
1463,6294
1464,1509
1465,5855
1466,6640
1467,3211
1468,4564
1469,5325
1470,2378
1471,1529
1472,1542
1473,1484
1474,1096
1475,1373
1476,391
1477,365
1478,1606
1479,668
1480,567
1481,1806
1482,445
1483,1641
1484,293
1485,1585
1486,358
1487,1122
1488,1468
1489,1257
1490,480
1491,415
1492,381
1493,621
1494,305
1495,676
1496,497
1497,773
1498,259
1499,275
1500,337
1501,790
1502,923
1503,843
1504,351
1505,790
1506,282
1507,1843
1508,375
1509,714
1510,559
1511,1389
1512,553
1513,550
1514,366
1515,289
1516,293
1517,457
1518,288
1519,1723
1520,1020
1521,450
1522,208
1523,2142
1524,1620
1525,1962
1526,892
1527,2202
1528,692
1529,3603
1530,1127
1531,844
1532,2028
1533,1337
1534,1396
1535,1269
1536,753
1537,690
1538,838
1539,1130
1540,397
1541,1307
1542,741
1543,489
1544,137
1545,3079
1546,2092
1547,4990
1548,1119
1549,2294
1550,796
1551,5931
1552,1224
1553,2520
1554,4808
1555,2715
1556,940
1557,1129
1558,1079
1559,497
1560,517
1561,1128
1562,464
1563,439
1564,391
1565,373
1566,227
1567,2024
1568,800
1569,1460
1570,554
1571,1657
1572,650
1573,1020
1574,881
1575,1647
1576,2241
1577,1695
1578,776
1579,946
1580,643
1581,505
1582,617
1583,1412
1584,350
1585,196
1586,619
1587,495
1588,272
1589,1455
1590,890
1591,1900
1592,923
1593,1691
1594,592
1595,1252
1596,903
1597,1874
1598,2017
1599,1346
1600,1028
1601,814
1602,529
1603,666
1604,497
1605,1181
1606,368
1607,360
1608,912
1609,536
1610,258
1611,1883
1612,1453
1613,2194
1614,918
1615,1509
1616,753
1617,1379
1618,678
1619,2257
1620,2148
1621,1232
1622,974
1623,846
1624,610
1625,457
1626,530
1627,919
1628,732
1629,839
1630,1869
1631,1312
1632,1363
1633,5433
1634,3043
1635,4917
1636,1416
1637,5285
1638,1394
1639,5047
1640,1824
1641,4440
1642,6522
1643,2564
1644,3548
1645,2818
1646,1485
1647,1375
1648,1451
