id,forecastVolum
1,233
2,256
3,144
4,232
5,309
6,154
7,337
8,157
9,1669
10,266
11,543
12,151
13,258
14,265
15,528
16,302
17,264
18,233
19,421
20,86
21,252
22,231
23,296
24,281
25,245
26,244
27,575
28,404
29,834
30,288
31,7829
32,569
33,1286
34,306
35,699
36,638
37,1169
38,614
39,518
40,941
41,1104
42,237
43,332
44,526
45,144
46,247
47,176
48,284
49,303
50,101
51,302
52,138
53,1240
54,172
55,349
56,88
57,283
58,251
59,324
60,204
61,189
62,85
63,338
64,127
65,198
66,219
67,188
68,292
69,170
70,147
71,357
72,239
73,394
74,199
75,3495
76,319
77,790
78,299
79,357
80,460
81,983
82,482
83,411
84,461
85,410
86,148
87,255
88,236
89,178
90,3188
91,369
92,82
93,1216
94,1392
95,3288
96,1421
97,1202
98,1673
99,1669
100,663
101,3184
102,3940
103,1209
104,1065
105,1260
106,336
107,864
108,250
109,1517
110,389
111,364
112,387
113,416
114,76
115,800
116,986
117,1394
118,506
119,6340
120,520
121,1338
122,616
123,1739
124,2082
125,892
126,1070
127,1229
128,305
129,335
130,470
131,476
132,376
133,826
134,188
135,136
136,864
137,271
138,282
139,931
140,261
141,842
142,94
143,855
144,179
145,498
146,590
147,650
148,245
149,190
150,191
151,299
152,142
153,268
154,215
155,309
156,103
157,7
158,63
159,227
160,375
161,303
162,33
163,358
164,99
165,795
166,231
167,198
168,329
169,501
170,263
171,255
172,148
173,29
174,100
175,161
176,1
177,707
178,301
179,268
180,350
181,690
182,778
183,908
184,343
185,810
186,293
187,1165
188,736
189,620
190,889
191,814
192,878
193,886
194,358
195,294
196,358
197,312
198,195
199,717
200,357
201,274
202,38
203,1109
204,1722
205,2246
206,600
207,1188
208,553
209,2486
210,1329
211,1401
212,1824
213,2002
214,1224
215,1230
216,793
217,382
218,383
219,549
220,141
221,146
222,295
223,247
224,236
225,905
226,614
227,1525
228,642
229,1124
230,499
231,938
232,617
233,1206
234,2055
235,2082
236,796
237,853
238,562
239,261
240,405
241,1218
242,116
243,48
244,370
245,294
246,46
247,743
248,551
249,1268
250,691
251,965
252,412
253,634
254,480
255,1303
256,1358
257,645
258,513
259,622
260,290
261,397
262,361
263,746
264,279
265,94
266,631
267,400
268,33
269,1159
270,921
271,1604
272,580
273,796
274,494
275,1102
276,679
277,1595
278,1579
279,856
280,861
281,749
282,384
283,276
284,393
285,559
286,392
287,323
288,1095
289,721
290,263
291,2039
292,1884
293,2502
294,746
295,2045
296,693
297,2222
298,1214
299,2085
300,3110
301,1998
302,1494
303,1825
304,596
305,863
306,770
307,861
308,516
309,480
310,339
311,332
312,695
313,695
314,756
315,1084
316,582
317,469
318,133
319,1250
320,329
321,1226
322,987
323,686
324,279
325,431
326,235
327,176
328,330
329,407
330,51
331,24
332,931
333,614
334,279
335,1553
336,410
337,2108
338,862
339,1186
340,341
341,643
342,345
343,1986
344,1371
345,587
346,441
347,1003
348,395
349,924
350,239
351,589
352,955
353,1758
354,960
355,567
356,473
357,1834
358,1856
359,2286
360,965
361,1026
362,562
363,2219
364,1171
365,2349
366,2341
367,1472
368,1066
369,1508
370,871
371,581
372,772
373,938
374,311
375,304
376,702
377,718
378,127
379,1070
380,1101
381,1989
382,1773
383,591
384,308
385,1130
386,520
387,1953
388,1795
389,625
390,341
391,585
392,380
393,783
394,368
395,789
396,547
397,282
398,345
399,372
400,782
401,804
402,515
403,1350
404,344
405,766
406,240
407,1074
408,320
409,1379
410,1195
411,715
412,488
413,450
414,343
415,624
416,322
417,437
418,671
419,286
420,209
421,55
422,96
423,263
424,318
425,431
426,40
427,354
428,87
429,558
430,259
431,262
432,260
433,541
434,243
435,292
436,192
437,136
438,156
439,102
440,81
441,417
442,486
443,455
444,308
445,1274
446,1040
447,1499
448,480
449,828
450,314
451,1916
452,525
453,2099
454,2017
455,1239
456,638
457,647
458,495
459,615
460,349
461,533
462,483
463,514
464,280
465,241
466,357
467,538
468,536
469,1081
470,214
471,581
472,200
473,1310
474,294
475,1000
476,936
477,1189
478,300
479,338
480,294
481,272
482,134
483,318
484,239
485,6
486,30
487,19
488,2
489,139
490,361
491,622
492,227
493,45
494,68
495,218
496,42
