adcode,bodyType,forecastVolum,id,model,province,regMonth,regYear,salesVolume,popularity,carCommentVolum,newsReplyVolum,label,mt,model_adcode,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
310000,0,,0,0,上海,1,2017,305.0,1072.0,158.0,1737.0,305.0,13,310000,359.0,374.0,516.0,317.0,473.0,1734.0,1504.0,1293.0,167.0,291.0
530000,0,,0,0,云南,1,2017,434.0,1600.0,158.0,1737.0,434.0,13,530000,485.0,423.0,253.0,94.0,535.0,732.0,785.0,639.0,350.0,95.0
150000,0,,0,0,内蒙古,1,2017,180.0,1316.0,158.0,1737.0,180.0,13,150000,434.0,619.0,238.0,114.0,234.0,573.0,430.0,580.0,233.0,64.0
110000,0,,0,0,北京,1,2017,468.0,2783.0,158.0,1737.0,468.0,13,110000,1802.0,1441.0,1094.0,954.0,681.0,1057.0,1127.0,2146.0,677.0,739.0
510000,0,,0,0,四川,1,2017,500.0,4802.0,158.0,1737.0,500.0,13,510000,1083.0,1078.0,543.0,560.0,849.0,1876.0,1775.0,1105.0,434.0,296.0
340000,0,,0,0,安徽,1,2017,198.0,1253.0,158.0,1737.0,198.0,13,340000,629.0,273.0,578.0,192.0,368.0,1597.0,1490.0,1070.0,138.0,125.0
370000,0,,0,0,山东,1,2017,468.0,3288.0,158.0,1737.0,468.0,13,370000,1642.0,1011.0,1221.0,714.0,936.0,2394.0,1739.0,1837.0,400.0,356.0
140000,0,,0,0,山西,1,2017,248.0,1261.0,158.0,1737.0,248.0,13,140000,414.0,348.0,605.0,230.0,244.0,742.0,371.0,1203.0,197.0,51.0
440000,0,,0,0,广东,1,2017,2692.0,7885.0,158.0,1737.0,2692.0,13,440000,1243.0,2562.0,3747.0,1893.0,2078.0,2594.0,2216.0,825.0,1829.0,572.0
450000,0,,0,0,广西,1,2017,425.0,1214.0,158.0,1737.0,425.0,13,450000,214.0,443.0,174.0,333.0,317.0,713.0,372.0,243.0,173.0,46.0
320000,0,,0,0,江苏,1,2017,800.0,3351.0,158.0,1737.0,800.0,13,320000,1374.0,857.0,1524.0,865.0,820.0,2647.0,3132.0,2643.0,427.0,301.0
360000,0,,0,0,江西,1,2017,236.0,977.0,158.0,1737.0,236.0,13,360000,329.0,382.0,409.0,280.0,262.0,1527.0,1144.0,571.0,109.0,92.0
130000,0,,0,0,河北,1,2017,260.0,2752.0,158.0,1737.0,260.0,13,130000,1615.0,1042.0,1119.0,454.0,750.0,1235.0,1218.0,1923.0,328.0,131.0
410000,0,,0,0,河南,1,2017,405.0,3603.0,158.0,1737.0,405.0,13,410000,1443.0,656.0,866.0,300.0,820.0,2122.0,1578.0,1482.0,337.0,187.0
330000,0,,0,0,浙江,1,2017,633.0,2846.0,158.0,1737.0,633.0,13,330000,863.0,970.0,1515.0,787.0,684.0,2068.0,3371.0,1112.0,424.0,230.0
420000,0,,0,0,湖北,1,2017,497.0,2310.0,158.0,1737.0,497.0,13,420000,566.0,1458.0,906.0,566.0,425.0,1632.0,1333.0,483.0,280.0,184.0
430000,0,,0,0,湖南,1,2017,347.0,1876.0,158.0,1737.0,347.0,13,430000,494.0,879.0,839.0,412.0,493.0,2178.0,1561.0,783.0,275.0,211.0
350000,0,,0,0,福建,1,2017,292.0,1364.0,158.0,1737.0,292.0,13,350000,402.0,523.0,638.0,562.0,338.0,913.0,1102.0,456.0,157.0,124.0
210000,0,,0,0,辽宁,1,2017,650.0,2468.0,158.0,1737.0,650.0,13,210000,1082.0,1105.0,1395.0,340.0,450.0,594.0,555.0,310.0,567.0,129.0
500000,0,,0,0,重庆,1,2017,115.0,654.0,158.0,1737.0,115.0,13,500000,391.0,732.0,213.0,846.0,575.0,762.0,740.0,644.0,155.0,160.0
610000,0,,0,0,陕西,1,2017,305.0,1900.0,158.0,1737.0,305.0,13,610000,497.0,618.0,371.0,126.0,404.0,651.0,533.0,758.0,267.0,182.0
230000,0,,0,0,黑龙江,1,2017,292.0,1971.0,158.0,1737.0,292.0,13,230000,964.0,497.0,783.0,107.0,410.0,372.0,428.0,169.0,336.0,77.0
310000,1,,0,1,上海,1,2017,268.0,1227.0,513.0,3578.0,268.0,13,310001,210.0,507.0,262.0,456.0,925.0,117.0,688.0,3060.0,374.0,1734.0
530000,1,,0,1,云南,1,2017,292.0,1342.0,513.0,3578.0,292.0,13,530001,308.0,225.0,59.0,442.0,546.0,1590.0,1001.0,1402.0,456.0,732.0
150000,1,,0,1,内蒙古,1,2017,175.0,1195.0,513.0,3578.0,175.0,13,150001,176.0,169.0,37.0,382.0,418.0,982.0,789.0,827.0,219.0,573.0
110000,1,,0,1,北京,1,2017,368.0,3115.0,513.0,3578.0,368.0,13,110001,342.0,450.0,226.0,580.0,1615.0,985.0,1807.0,2145.0,563.0,1057.0
510000,1,,0,1,四川,1,2017,657.0,5695.0,513.0,3578.0,657.0,13,510001,436.0,394.0,223.0,804.0,1167.0,3340.0,3590.0,2450.0,570.0,1876.0
340000,1,,0,1,安徽,1,2017,301.0,1583.0,513.0,3578.0,301.0,13,340001,348.0,310.0,121.0,503.0,1003.0,575.0,1968.0,3132.0,226.0,1597.0
370000,1,,0,1,山东,1,2017,775.0,3786.0,513.0,3578.0,775.0,13,370001,556.0,507.0,199.0,1164.0,2766.0,4024.0,3299.0,5401.0,601.0,2394.0
140000,1,,0,1,山西,1,2017,290.0,1384.0,513.0,3578.0,290.0,13,140001,181.0,97.0,33.0,428.0,484.0,1616.0,1130.0,2066.0,260.0,742.0
