province,adcode,model,bodyType,regYear,regMonth,salesVolume,popularity
北京,110000,02aab221aabc03b9,Sedan,2016,1,799,613
北京,110000,02aab221aabc03b9,Sedan,2016,2,424,522
北京,110000,02aab221aabc03b9,Sedan,2016,3,733,646
北京,110000,02aab221aabc03b9,Sedan,2016,4,545,594
北京,110000,02aab221aabc03b9,Sedan,2016,5,566,601
北京,110000,02aab221aabc03b9,Sedan,2016,6,646,677
北京,110000,02aab221aabc03b9,Sedan,2016,7,748,751
北京,110000,02aab221aabc03b9,Sedan,2016,8,847,758
北京,110000,02aab221aabc03b9,Sedan,2016,9,831,810
北京,110000,02aab221aabc03b9,Sedan,2016,10,642,806
北京,110000,02aab221aabc03b9,Sedan,2016,11,654,765
北京,110000,02aab221aabc03b9,Sedan,2016,12,521,815
北京,110000,02aab221aabc03b9,Sedan,2017,1,798,775
北京,110000,02aab221aabc03b9,Sedan,2017,2,532,874
北京,110000,02aab221aabc03b9,Sedan,2017,3,838,610
北京,110000,02aab221aabc03b9,Sedan,2017,4,575,670
北京,110000,02aab221aabc03b9,Sedan,2017,5,694,614
北京,110000,02aab221aabc03b9,Sedan,2017,6,618,663
北京,110000,02aab221aabc03b9,Sedan,2017,7,670,760
北京,110000,02aab221aabc03b9,Sedan,2017,8,630,815
北京,110000,02aab221aabc03b9,Sedan,2017,9,659,729
北京,110000,02aab221aabc03b9,Sedan,2017,10,544,407
北京,110000,02aab221aabc03b9,Sedan,2017,11,647,656
北京,110000,02aab221aabc03b9,Sedan,2017,12,640,389
河北,130000,02aab221aabc03b9,Sedan,2016,1,325,477
河北,130000,02aab221aabc03b9,Sedan,2016,2,118,390
河北,130000,02aab221aabc03b9,Sedan,2016,3,239,386
河北,130000,02aab221aabc03b9,Sedan,2016,4,297,407
河北,130000,02aab221aabc03b9,Sedan,2016,5,312,403
河北,130000,02aab221aabc03b9,Sedan,2016,6,337,434
河北,130000,02aab221aabc03b9,Sedan,2016,7,350,453
河北,130000,02aab221aabc03b9,Sedan,2016,8,330,503
河北,130000,02aab221aabc03b9,Sedan,2016,9,362,606
河北,130000,02aab221aabc03b9,Sedan,2016,10,307,576
河北,130000,02aab221aabc03b9,Sedan,2016,11,254,490
河北,130000,02aab221aabc03b9,Sedan,2016,12,182,528
河北,130000,02aab221aabc03b9,Sedan,2017,1,340,561
河北,130000,02aab221aabc03b9,Sedan,2017,2,242,539
河北,130000,02aab221aabc03b9,Sedan,2017,3,360,470
河北,130000,02aab221aabc03b9,Sedan,2017,4,379,441
河北,130000,02aab221aabc03b9,Sedan,2017,5,362,513
河北,130000,02aab221aabc03b9,Sedan,2017,6,327,460
河北,130000,02aab221aabc03b9,Sedan,2017,7,372,588
河北,130000,02aab221aabc03b9,Sedan,2017,8,362,543
河北,130000,02aab221aabc03b9,Sedan,2017,9,376,574
