province,adcode,model,bodyType,salesVolume1,popularity1,salesVolume2,popularity2,salesVolume3,popularity3,salesVolume4,popularity4,salesVolume5,popularity5,salesVolume6,popularity6,salesVolume7,popularity7,salesVolume8,popularity8,salesVolume9,popularity9,salesVolume10,popularity10,salesVolume11,popularity11,salesVolume12,popularity12,pred
3,0,0,3,799,613,424,522,733,646,545,594,566,601,646,677,748,751,847,758,831,810,642,806,654,765,521,815,798
12,1,0,3,325,477,118,390,239,386,297,407,312,403,337,434,350,453,330,503,362,606,307,576,254,490,182,528,340
7,2,0,3,102,174,58,164,112,158,93,141,114,152,101,151,121,168,154,178,121,236,105,212,117,188,105,197,129
2,3,0,3,92,99,51,113,90,95,76,104,95,100,106,123,108,123,130,123,97,157,99,155,82,175,59,428,106
18,4,0,3,231,244,150,219,206,221,234,240,226,238,254,251,291,264,346,295,299,331,229,309,207,252,174,338,292
21,5,0,3,39,121,46,126,74,135,80,145,87,159,80,162,75,182,119,191,71,241,81,210,63,180,53,284,93
0,6,0,3,617,515,279,508,554,603,507,515,485,481,527,501,653,549,687,582,651,597,489,593,558,529,362,651,679
10,7,0,3,1709,1084,960,1012,1400,1063,1291,1008,1323,1047,1469,1034,1509,1028,1821,1094,1585,1167,1270,1125,1186,1057,1077,1096,1735
14,8,0,3,1444,918,745,870,1150,940,1124,855,1121,846,1210,884,1486,995,1568,1021,1439,1099,1239,1006,1136,936,1024,1033,1529
5,9,0,3,285,308,144,315,198,268,252,270,223,310,244,293,244,296,344,329,348,359,248,363,228,293,187,361,338
17,10,0,3,456,390,187,380,331,367,340,371,375,340,354,379,394,380,437,462,448,913,353,2473,321,662,324,521,518
11,11,0,3,204,208,93,207,153,180,158,180,177,239,165,218,198,203,224,214,232,248,164,247,154,209,152,228,242
6,12,0,3,516,715,240,581,412,575,457,591,437,624,443,672,584,736,549,743,525,828,474,744,421,742,353,763,610
13,13,0,3,355,570,161,620,301,510,358,491,277,492,291,552,353,594,389,590,339,714,239,655,284,623,223,608,320
15,14,0,3,264,323,166,376,276,371,286,340,265,381,300,398,346,382,383,400,407,477,272,440,273,398,274,390,370
16,15,0,3,313,282,113,277,209,283,229,270,207,264,229,323,257,322,270,316,285,418,213,351,205,352,215,372,305
8,16,0,3,1364,1239,384,1256,1124,1493,891,1428,1008,1363,1160,1488,1083,1505,1238,1623,1180,1790,1049,1716,976,1640,1007,1861,1207
9,17,0,3,125,187,68,178,133,201,79,191,114,200,129,202,142,201,161,209,151,263,126,232,138,201,119,249,159
19,18,0,3,275,181,140,213,226,201,204,208,204,226,232,223,259,240,222,248,255,243,197,237,217,213,217,219,267
4,19,0,3,559,695,325,707,439,751,421,691,431,759,486,827,460,820,559,896,615,1041,471,964,430,897,474,921,703
1,20,0,3,238,204,87,184,174,195,151,192,202,189,185,208,247,240,209,236,201,279,174,252,160,290,155,262,229
20,21,0,3,270,259,145,278,192,286,213,307,288,357,241,367,238,380,319,347,283,381,263,338,205,296,197,474,285
3,0,1,3,135,896,57,1135,160,1097,141,823,144,924,157,918,165,994,158,4457,241,4040,166,5722,231,3206,280,1021,180
12,1,1,3,119,1403,50,1960,125,1446,133,1107,124,953,117,915,113,973,185,1543,186,1995,192,1869,206,1386,272,1209,140
7,2,1,3,37,530,21,705,25,513,37,388,54,325,47,320,58,361,68,523,104,833,75,668,85,509,95,396,42
2,3,1,3,44,495,20,676,43,509,68,368,68,306,57,277,63,293,80,416,87,585,94,555,102,509,118,406,60
18,4,1,3,39,579,14,793,35,578,39,632,48,554,22,489,42,373,64,1241,69,774,52,691,62,867,81,1179,42
21,5,1,3,30,509,14,750,33,528,46,415,45,320,30,280,38,293,60,811,45,962,45,2742,56,1791,48,366,22
0,6,1,3,388,863,191,1137,341,1059,301,817,229,713,293,654,265,862,342,2131,422,2025,337,1574,524,1650,679,1586,950
10,7,1,3,265,1599,167,2092,319,1859,322,1504,305,1385,326,1374,286,1419,477,7177,566,8289,501,11330,644,9429,669,8624,334
14,8,1,3,146,1213,62,1513,153,1487,241,1027,174,829,199,794,216,879,262,5820,293,6095,289,6413,400,5902,452,6968,190
5,9,1,3,71,602,32,836,69,853,84,537,82,580,105,523,84,525,146,4033,172,2839,127,5518,176,4479,201,9913,116
17,10,1,3,85,367,32,504,69,498,44,368,77,346,80,402,72,333,82,2268,93,2054,107,4430,132,2772,139,1298,77
11,11,1,3,79,346,25,474,53,379,46,290,68,281,55,243,61,244,72,789,97,1270,83,1835,104,1669,86,1268,64
6,12,1,3,219,1641,87,2261,288,1697,336,1480,249,1338,208,1219,207,1404,253,2225,405,2988,274,2719,383,2602,451,3092,230
13,13,1,3,95,1367,57,1888,78,1519,115,1071,86,967,115,928,109,1135,191,4579,156,3414,169,3829,219,3309,319,3162,144
15,14,1,3,61,426,17,626,36,470,44,374,55,423,47,371,45,361,58,2619,71,2948,47,6458,81,4064,82,1824,146
16,15,1,3,127,458,44,572,96,479,96,418,123,374,93,358,121,349,118,1076,158,2074,115,1223,135,1414,228,1427,105
8,16,1,3,126,952,21,1404,94,1361,95,978,114,940,119,934,105,980,149,4005,140,5102,175,5076,225,3583,268,3846,104
9,17,1,3,41,200,19,262,28,221,27,162,26,141,35,167,28,168,43,430,42,714,39,623,42,320,71,138,30
19,18,1,3,22,252,14,361,28,310,31,248,19,188,68,191,61,217,42,358,66,476,46,453,77,358,87,198,44
4,19,1,3,120,1131,80,1626,119,1385,165,1089,176,1068,134,1031,135,979,208,4320,419,9927,226,9449,291,4139,404,1546,151
1,20,1,3,55,376,23,479,57,453,93,337,77,282,88,272,123,323,129,502,142,903,173,1167,215,669,293,396,131
20,21,1,3,77,630,45,762,125,749,134,669,132,619,92,610,109,710,169,976,208,1121,170,1008,201,980,238,1189,124
3,0,2,3,872,1585,197,1405,494,1640,429,1533,502,1618,404,1777,587,1833,598,1790,646,1676,461,1691,553,1673,771,1806,253
12,1,2,3,1088,2091,433,1993,527,1756,489,1618,571,1629,550,1591,679,1613,797,1575,728,1510,665,1557,667,1426,773,1618,530
7,2,2,3,297,782,89,761,124,747,155,669,182,684,158,677,166,664,260,639,200,633,213,628,203,626,275,680,128
2,3,2,3,135,530,53,448,68,444,89,402,116,410,92,377,95,388,118,391,103,426,121,453,125,462,115,446,74
18,4,2,3,279,844,111,786,190,830,228,824,287,800,226,741,287,767,309,792,335,710,246,694,211,662,328,699,161
21,5,2,3,154,542,58,510,136,519,101,447,109,446,89,478,128,446,149,476,133,492,82,477,97,472,100,501,69
0,6,2,3,270,713,36,839,140,883,123,584,151,627,184,682,200,712,260,694,330,733,188,741,341,610,384,666,208
10,7,2,3,2572,2837,1169,2783,1437,2797,1322,2438,1690,2434,1549,2242,1784,2301,2086,2343,2054,2304,2015,2533,2022,2245,2642,2447,2094
14,8,2,3,2117,2786,826,2232,1017,2812,1000,2290,1198,2336,1267,2223,1405,2117,1649,2286,1572,2514,1696,2676,1832,2359,2222,2568,1022
5,9,2,3,1627,1686,500,1894,410,1293,494,1176,668,1187,812,1262,815,1276,909,1246,849,1261,800,1266,764,1145,993,1296,964
17,10,2,3,411,653,124,644,232,720,228,649,311,627,284,573,350,633,418,715,427,735,469,821,556,727,601,743,361
11,11,2,3,744,734,225,845,275,590,317,577,446,588,403,542,446,520,466,601,481,597,368,617,453,597,691,630,614
6,12,2,3,1313,2412,526,2418,689,2195,772,2033,912,2153,798,2040,955,2115,1028,2005,1068,2000,979,1922,957,1782,1332,1957,1011
13,13,2,3,2128,2996,769,3096,741,2379,998,2195,1156,2331,1405,2377,1588,2390,1680,2362,1676,2318,1390,2462,1577,2315,2409,2648,1865
15,14,2,3,804,964,267,1049,322,803,336,759,378,725,470,754,475,722,562,734,525,755,475,798,492,725,661,806,605
16,15,2,3,768,979,259,1123,348,928,380,846,383,893,445,879,414,880,541,813,561,874,481,884,547,841,698,905,488
8,16,2,3,1192,2208,150,2526,692,2966,651,2498,912,2582,826,2656,970,2627,1165,2721,1341,2766,1182,2966,1660,2598,1546,2753,767
9,17,2,3,341,362,123,362,132,367,118,309,154,317,160,324,138,317,192,329,192,331,181,344,188,314,276,349,186
19,18,2,3,516,563,254,628,176,551,207,534,287,544,447,637,415,651,439,628,445,569,330,554,373,506,430,556,326
4,19,2,3,990,2127,423,2458,370,2017,360,1863,435,1967,525,1998,529,1970,541,2057,770,2285,548,2275,657,2084,933,2329,673
1,20,2,3,241,455,89,408,97,421,87,409,116,407,115,417,160,386,152,430,177,456,216,498,186,452,206,446,142
20,21,2,3,542,988,170,944,252,1121,248,1164,336,1172,278,1131,349,1179,407,1020,350,982,449,1032,347,930,562,1076,349
3,0,3,3,309,849,106,882,458,988,579,887,619,1004,663,997,697,1036,743,1141,797,1273,664,1403,656,1453,980,1716,232
12,1,3,3,1469,1263,607,1271,575,1053,834,973,1174,946,1117,873,1091,782,1516,851,1988,1105,2221,1256,2449,1232,3796,1675,1214
7,2,3,3,729,516,276,486,388,489,385,447,544,411,496,387,521,377,585,364,792,463,899,486,919,529,1474,672,502
2,3,3,3,439,251,102,216,151,240,182,196,235,189,185,148,198,158,218,159,291,221,326,260,339,317,631,372,236
18,4,3,3,2384,1018,1130,1002,2185,1034,2416,1005,2738,963,2351,956,2715,1063,3298,1048,3035,1020,2443,1018,2622,1010,3705,1147,1059
21,5,3,3,569,393,195,403,290,387,315,306,472,304,426,280,421,289,630,327,651,442,605,430,913,491,1064,537,350
0,6,3,3,359,495,125,628,152,692,176,463,401,452,401,428,321,439,346,449,427,547,336,588,1289,510,571,610,175
10,7,3,3,1739,1154,775,1324,917,1404,1039,1193,1356,1152,1362,1046,1273,1001,1726,1113,2274,1336,2226,1618,2622,1463,3296,1799,1247
14,8,3,3,775,957,268,942,670,1302,888,1107,1084,1062,1050,914,1140,966,1443,1048,1709,1452,2001,1709,2019,1501,2088,1727,700
5,9,3,3,445,387,168,531,141,554,183,369,258,354,304,354,319,342,476,383,565,442,666,532,550,462,750,610,358
17,10,3,3,1153,787,324,920,743,1080,748,926,1047,872,978,865,991,887,1227,1104,1477,1273,1846,1460,1591,1232,1981,1303,769
11,11,3,3,712,489,298,643,301,554,380,526,537,502,595,502,606,483,715,542,1083,705,1277,781,1265,750,1764,806,857
6,12,3,3,2478,2037,846,1967,1159,1764,1838,1712,2095,1729,1935,1524,1835,1581,2200,1665,2915,1884,3148,2014,3502,1983,5481,2502,1788
