province,adcode,model,bodyType,regYear,regMonth,salesVolume,popularity
3,0,0,3,2016,1,799,613
3,0,0,3,2016,2,424,522
3,0,0,3,2016,3,733,646
3,0,0,3,2016,4,545,594
3,0,0,3,2016,5,566,601
3,0,0,3,2016,6,646,677
3,0,0,3,2016,7,748,751
3,0,0,3,2016,8,847,758
3,0,0,3,2016,9,831,810
3,0,0,3,2016,10,642,806
3,0,0,3,2016,11,654,765
3,0,0,3,2016,12,521,815
3,0,0,3,2017,1,798,775
3,0,0,3,2017,2,532,874
3,0,0,3,2017,3,838,610
3,0,0,3,2017,4,575,670
3,0,0,3,2017,5,694,614
3,0,0,3,2017,6,618,663
3,0,0,3,2017,7,670,760
3,0,0,3,2017,8,630,815
3,0,0,3,2017,9,659,729
3,0,0,3,2017,10,544,407
3,0,0,3,2017,11,647,656
3,0,0,3,2017,12,640,389
12,1,0,3,2016,1,325,477
12,1,0,3,2016,2,118,390
12,1,0,3,2016,3,239,386
12,1,0,3,2016,4,297,407
12,1,0,3,2016,5,312,403
12,1,0,3,2016,6,337,434
12,1,0,3,2016,7,350,453
12,1,0,3,2016,8,330,503
12,1,0,3,2016,9,362,606
12,1,0,3,2016,10,307,576
12,1,0,3,2016,11,254,490
12,1,0,3,2016,12,182,528
12,1,0,3,2017,1,340,561
12,1,0,3,2017,2,242,539
12,1,0,3,2017,3,360,470
12,1,0,3,2017,4,379,441
12,1,0,3,2017,5,362,513
12,1,0,3,2017,6,327,460
12,1,0,3,2017,7,372,588
12,1,0,3,2017,8,362,543
12,1,0,3,2017,9,376,574
12,1,0,3,2017,10,325,296
12,1,0,3,2017,11,346,649
12,1,0,3,2017,12,334,359
7,2,0,3,2016,1,102,174
7,2,0,3,2016,2,58,164
7,2,0,3,2016,3,112,158
7,2,0,3,2016,4,93,141
7,2,0,3,2016,5,114,152
7,2,0,3,2016,6,101,151
7,2,0,3,2016,7,121,168
7,2,0,3,2016,8,154,178
7,2,0,3,2016,9,121,236
7,2,0,3,2016,10,105,212
7,2,0,3,2016,11,117,188
7,2,0,3,2016,12,105,197
7,2,0,3,2017,1,129,296
7,2,0,3,2017,2,94,604
7,2,0,3,2017,3,160,177
7,2,0,3,2017,4,139,172
7,2,0,3,2017,5,138,178
7,2,0,3,2017,6,152,174
7,2,0,3,2017,7,130,235
7,2,0,3,2017,8,124,224
7,2,0,3,2017,9,119,243
7,2,0,3,2017,10,114,119
7,2,0,3,2017,11,110,226
7,2,0,3,2017,12,121,105
2,3,0,3,2016,1,92,99
2,3,0,3,2016,2,51,113
2,3,0,3,2016,3,90,95
2,3,0,3,2016,4,76,104
2,3,0,3,2016,5,95,100
2,3,0,3,2016,6,106,123
2,3,0,3,2016,7,108,123
2,3,0,3,2016,8,130,123
2,3,0,3,2016,9,97,157
2,3,0,3,2016,10,99,155
2,3,0,3,2016,11,82,175
2,3,0,3,2016,12,59,428
2,3,0,3,2017,1,106,241
2,3,0,3,2017,2,63,140
2,3,0,3,2017,3,136,157
2,3,0,3,2017,4,99,117
2,3,0,3,2017,5,113,119
2,3,0,3,2017,6,83,112
2,3,0,3,2017,7,99,132
2,3,0,3,2017,8,112,135
2,3,0,3,2017,9,92,116
2,3,0,3,2017,10,79,72
2,3,0,3,2017,11,72,161
2,3,0,3,2017,12,88,91
18,4,0,3,2016,1,231,244
18,4,0,3,2016,2,150,219
18,4,0,3,2016,3,206,221
18,4,0,3,2016,4,234,240
18,4,0,3,2016,5,226,238
18,4,0,3,2016,6,254,251
18,4,0,3,2016,7,291,264
18,4,0,3,2016,8,346,295
18,4,0,3,2016,9,299,331
18,4,0,3,2016,10,229,309
18,4,0,3,2016,11,207,252
18,4,0,3,2016,12,174,338
18,4,0,3,2017,1,292,250
18,4,0,3,2017,2,205,249
18,4,0,3,2017,3,321,322
18,4,0,3,2017,4,225,290
18,4,0,3,2017,5,242,329
18,4,0,3,2017,6,252,315
18,4,0,3,2017,7,295,529
18,4,0,3,2017,8,316,496
18,4,0,3,2017,9,266,497
18,4,0,3,2017,10,226,293
18,4,0,3,2017,11,255,468
18,4,0,3,2017,12,206,260
21,5,0,3,2016,1,39,121
21,5,0,3,2016,2,46,126
21,5,0,3,2016,3,74,135
21,5,0,3,2016,4,80,145
21,5,0,3,2016,5,87,159
21,5,0,3,2016,6,80,162
21,5,0,3,2016,7,75,182
21,5,0,3,2016,8,119,191
21,5,0,3,2016,9,71,241
21,5,0,3,2016,10,81,210
21,5,0,3,2016,11,63,180
21,5,0,3,2016,12,53,284
21,5,0,3,2017,1,93,267
21,5,0,3,2017,2,68,253
21,5,0,3,2017,3,133,159
21,5,0,3,2017,4,85,432
21,5,0,3,2017,5,82,339
21,5,0,3,2017,6,113,166
21,5,0,3,2017,7,113,269
21,5,0,3,2017,8,134,346
21,5,0,3,2017,9,92,292
21,5,0,3,2017,10,79,257
21,5,0,3,2017,11,76,196
21,5,0,3,2017,12,51,138
0,6,0,3,2016,1,617,515
0,6,0,3,2016,2,279,508
0,6,0,3,2016,3,554,603
0,6,0,3,2016,4,507,515
0,6,0,3,2016,5,485,481
0,6,0,3,2016,6,527,501
0,6,0,3,2016,7,653,549
0,6,0,3,2016,8,687,582
0,6,0,3,2016,9,651,597
0,6,0,3,2016,10,489,593
0,6,0,3,2016,11,558,529
0,6,0,3,2016,12,362,651
0,6,0,3,2017,1,679,596
0,6,0,3,2017,2,494,685
0,6,0,3,2017,3,731,637
0,6,0,3,2017,4,600,900
0,6,0,3,2017,5,672,581
0,6,0,3,2017,6,772,612
0,6,0,3,2017,7,704,519
0,6,0,3,2017,8,727,763
0,6,0,3,2017,9,654,707
0,6,0,3,2017,10,627,401
0,6,0,3,2017,11,624,552
0,6,0,3,2017,12,616,383
10,7,0,3,2016,1,1709,1084
10,7,0,3,2016,2,960,1012
10,7,0,3,2016,3,1400,1063
10,7,0,3,2016,4,1291,1008
10,7,0,3,2016,5,1323,1047
10,7,0,3,2016,6,1469,1034
10,7,0,3,2016,7,1509,1028
10,7,0,3,2016,8,1821,1094
10,7,0,3,2016,9,1585,1167
10,7,0,3,2016,10,1270,1125
10,7,0,3,2016,11,1186,1057
10,7,0,3,2016,12,1077,1096
10,7,0,3,2017,1,1735,1163
10,7,0,3,2017,2,1066,1254
10,7,0,3,2017,3,1713,1180
10,7,0,3,2017,4,1523,1087
10,7,0,3,2017,5,1554,1149
10,7,0,3,2017,6,1639,1062
10,7,0,3,2017,7,1493,1260
10,7,0,3,2017,8,1583,960
10,7,0,3,2017,9,1338,1066
10,7,0,3,2017,10,1428,890
10,7,0,3,2017,11,1399,1369
10,7,0,3,2017,12,1340,851
14,8,0,3,2016,1,1444,918
14,8,0,3,2016,2,745,870
14,8,0,3,2016,3,1150,940
14,8,0,3,2016,4,1124,855
14,8,0,3,2016,5,1121,846
14,8,0,3,2016,6,1210,884
14,8,0,3,2016,7,1486,995
14,8,0,3,2016,8,1568,1021
14,8,0,3,2016,9,1439,1099
14,8,0,3,2016,10,1239,1006
14,8,0,3,2016,11,1136,936
14,8,0,3,2016,12,1024,1033
14,8,0,3,2017,1,1529,952
14,8,0,3,2017,2,973,1151
14,8,0,3,2017,3,1602,1088
14,8,0,3,2017,4,1326,930
14,8,0,3,2017,5,1507,993
14,8,0,3,2017,6,1501,1100
14,8,0,3,2017,7,1473,1049
14,8,0,3,2017,8,1537,796
