province,adcode,model,bodyType,regYear,regMonth,salesVolume
0,6,13,2,2016,1,292
1,20,13,2,2016,1,466
2,3,13,2,2016,1,257
3,0,13,2,2016,1,408
4,19,13,2,2016,1,610
5,9,13,2,2016,1,206
6,12,13,2,2016,1,503
7,2,13,2,2016,1,236
8,16,13,2,2016,1,3635
9,17,13,2,2016,1,450
10,7,13,2,2016,1,876
11,11,13,2,2016,1,253
12,1,13,2,2016,1,306
13,13,13,2,2016,1,537
14,8,13,2,2016,1,650
15,14,13,2,2016,1,635
16,15,13,2,2016,1,525
17,10,13,2,2016,1,462
18,4,13,2,2016,1,791
19,18,13,2,2016,1,195
20,21,13,2,2016,1,298
21,5,13,2,2016,1,309
0,6,14,3,2016,1,389
1,20,14,3,2016,1,306
2,3,14,3,2016,1,260
3,0,14,3,2016,1,449
4,19,14,3,2016,1,757
5,9,14,3,2016,1,275
6,12,14,3,2016,1,890
7,2,14,3,2016,1,387
8,16,14,3,2016,1,8330
9,17,14,3,2016,1,801
10,7,14,3,2016,1,1685
11,11,14,3,2016,1,393
12,1,14,3,2016,1,788
13,13,14,3,2016,1,850
14,8,14,3,2016,1,1438
15,14,14,3,2016,1,762
16,15,14,3,2016,1,678
17,10,14,3,2016,1,1115
18,4,14,3,2016,1,1304
19,18,14,3,2016,1,188
20,21,14,3,2016,1,240
21,5,14,3,2016,1,467
0,6,10,2,2016,1,232
1,20,10,2,2016,1,297
2,3,10,2,2016,1,259
3,0,10,2,2016,1,805
4,19,10,2,2016,1,423
5,9,10,2,2016,1,138
6,12,10,2,2016,1,337
7,2,10,2,2016,1,166
8,16,10,2,2016,1,1775
9,17,10,2,2016,1,207
10,7,10,2,2016,1,463
11,11,10,2,2016,1,97
12,1,10,2,2016,1,326
13,13,10,2,2016,1,271
14,8,10,2,2016,1,381
15,14,10,2,2016,1,226
16,15,10,2,2016,1,259
17,10,10,2,2016,1,137
18,4,10,2,2016,1,543
19,18,10,2,2016,1,172
20,21,10,2,2016,1,248
21,5,10,2,2016,1,362
0,6,36,3,2016,1,243
1,20,36,3,2016,1,238
2,3,36,3,2016,1,190
3,0,36,3,2016,1,335
4,19,36,3,2016,1,528
5,9,36,3,2016,1,308
6,12,36,3,2016,1,424
7,2,36,3,2016,1,182
8,16,36,3,2016,1,4260
9,17,36,3,2016,1,414
10,7,36,3,2016,1,902
11,11,36,3,2016,1,248
12,1,36,3,2016,1,409
13,13,36,3,2016,1,455
14,8,36,3,2016,1,1040
15,14,36,3,2016,1,675
16,15,36,3,2016,1,547
17,10,36,3,2016,1,464
18,4,36,3,2016,1,649
19,18,36,3,2016,1,187
20,21,36,3,2016,1,259
21,5,36,3,2016,1,291
0,6,6,1,2016,1,365
1,20,6,1,2016,1,4147
2,3,6,1,2016,1,567
3,0,6,1,2016,1,456
4,19,6,1,2016,1,1772
5,9,6,1,2016,1,2289
6,12,6,1,2016,1,5481
7,2,6,1,2016,1,2166
8,16,6,1,2016,1,2118
9,17,6,1,2016,1,4779
10,7,6,1,2016,1,2358
11,11,6,1,2016,1,1882
12,1,6,1,2016,1,4112
13,13,6,1,2016,1,7051
14,8,6,1,2016,1,1411
15,14,6,1,2016,1,1923
16,15,6,1,2016,1,2637
17,10,6,1,2016,1,670
18,4,6,1,2016,1,1203
19,18,6,1,2016,1,370
20,21,6,1,2016,1,2683
21,5,6,1,2016,1,721
0,6,9,2,2016,1,431
1,20,9,2,2016,1,248
2,3,9,2,2016,1,939
3,0,9,2,2016,1,458
4,19,9,2,2016,1,1221
5,9,9,2,2016,1,1440
6,12,9,2,2016,1,1657
7,2,9,2,2016,1,639
8,16,9,2,2016,1,6442
9,17,9,2,2016,1,719
10,7,9,2,2016,1,2063
11,11,9,2,2016,1,1070
12,1,9,2,2016,1,1775
13,13,9,2,2016,1,2481
14,8,9,2,2016,1,1156
15,14,9,2,2016,1,1769
16,15,9,2,2016,1,1843
17,10,9,2,2016,1,356
18,4,9,2,2016,1,299
19,18,9,2,2016,1,771
20,21,9,2,2016,1,524
21,5,9,2,2016,1,605
0,6,43,1,2016,1,1178
1,20,43,1,2016,1,77
2,3,43,1,2016,1,67
3,0,43,1,2016,1,1071
4,19,43,1,2016,1,156
5,9,43,1,2016,1,149
6,12,43,1,2016,1,635
7,2,43,1,2016,1,133
8,16,43,1,2016,1,585
9,17,43,1,2016,1,58
10,7,43,1,2016,1,739
11,11,43,1,2016,1,91
12,1,43,1,2016,1,250
13,13,43,1,2016,1,383
14,8,43,1,2016,1,395
15,14,43,1,2016,1,109
16,15,43,1,2016,1,80
17,10,43,1,2016,1,77
18,4,43,1,2016,1,160
19,18,43,1,2016,1,81
20,21,43,1,2016,1,175
21,5,43,1,2016,1,108
0,6,25,3,2016,1,992
1,20,25,3,2016,1,191
2,3,25,3,2016,1,102
3,0,25,3,2016,1,210
4,19,25,3,2016,1,429
5,9,25,3,2016,1,762
6,12,25,3,2016,1,898
7,2,25,3,2016,1,114
8,16,25,3,2016,1,609
9,17,25,3,2016,1,170
10,7,25,3,2016,1,1906
11,11,25,3,2016,1,344
12,1,25,3,2016,1,279
13,13,25,3,2016,1,558
14,8,25,3,2016,1,1566
15,14,25,3,2016,1,453
16,15,25,3,2016,1,459
17,10,25,3,2016,1,237
18,4,25,3,2016,1,158
19,18,25,3,2016,1,81
20,21,25,3,2016,1,275
21,5,25,3,2016,1,38
0,6,39,2,2016,1,1572
1,20,39,2,2016,1,612
2,3,39,2,2016,1,463
3,0,39,2,2016,1,895
4,19,39,2,2016,1,1417
5,9,39,2,2016,1,1219
6,12,39,2,2016,1,2241
7,2,39,2,2016,1,677
8,16,39,2,2016,1,2250
9,17,39,2,2016,1,594
10,7,39,2,2016,1,2192
11,11,39,2,2016,1,1062
12,1,39,2,2016,1,1028
13,13,39,2,2016,1,1627
14,8,39,2,2016,1,1657
15,14,39,2,2016,1,1510
16,15,39,2,2016,1,1650
17,10,39,2,2016,1,850
18,4,39,2,2016,1,446
19,18,39,2,2016,1,540
20,21,39,2,2016,1,746
21,5,39,2,2016,1,266
0,6,30,3,2016,1,1709
1,20,30,3,2016,1,390
2,3,30,3,2016,1,558
3,0,30,3,2016,1,334
4,19,30,3,2016,1,1710
5,9,30,3,2016,1,2375
6,12,30,3,2016,1,3723
7,2,30,3,2016,1,646
8,16,30,3,2016,1,1777
9,17,30,3,2016,1,677
10,7,30,3,2016,1,4998
11,11,30,3,2016,1,1261
12,1,30,3,2016,1,1931
13,13,30,3,2016,1,2603
14,8,30,3,2016,1,3101
15,14,30,3,2016,1,1782
16,15,30,3,2016,1,1687
17,10,30,3,2016,1,893
18,4,30,3,2016,1,589
19,18,30,3,2016,1,370
20,21,30,3,2016,1,741
21,5,30,3,2016,1,299
0,6,49,3,2016,1,204
1,20,49,3,2016,1,184
2,3,49,3,2016,1,389
3,0,49,3,2016,1,207
4,19,49,3,2016,1,955
5,9,49,3,2016,1,792
6,12,49,3,2016,1,1924
7,2,49,3,2016,1,452
8,16,49,3,2016,1,1224
9,17,49,3,2016,1,498
10,7,49,3,2016,1,1062
11,11,49,3,2016,1,1049
12,1,49,3,2016,1,919
13,13,49,3,2016,1,2130
14,8,49,3,2016,1,1779
15,14,49,3,2016,1,890
16,15,49,3,2016,1,1524
17,10,49,3,2016,1,671
18,4,49,3,2016,1,214
19,18,49,3,2016,1,378
20,21,49,3,2016,1,927
21,5,49,3,2016,1,193
0,6,26,3,2016,1,78
1,20,26,3,2016,1,341
2,3,26,3,2016,1,352
3,0,26,3,2016,1,235
4,19,26,3,2016,1,756
5,9,26,3,2016,1,363
6,12,26,3,2016,1,1789
7,2,26,3,2016,1,429
8,16,26,3,2016,1,641
9,17,26,3,2016,1,285
