province,adcode,model,regYear,regMonth,popularity
13,13,6,2016,1,19036
13,13,6,2016,2,17856
13,13,6,2016,3,12517
13,13,6,2016,4,9700
13,13,6,2016,5,12780
13,13,6,2016,6,11803
13,13,6,2016,7,11238
13,13,6,2016,8,12713
13,13,6,2016,9,13899
13,13,6,2016,10,17326
13,13,6,2016,11,16127
13,13,6,2016,12,18815
13,13,6,2017,1,17483
13,13,6,2017,2,18899
13,13,6,2017,3,14067
13,13,6,2017,4,9014
13,13,6,2017,5,9443
13,13,6,2017,6,10435
13,13,6,2017,7,8900
13,13,6,2017,8,8464
13,13,6,2017,9,8491
13,13,6,2017,10,8958
13,13,6,2017,11,9332
13,13,6,2017,12,11747
13,13,23,2016,1,3791
13,13,23,2016,2,3987
13,13,23,2016,3,3103
13,13,23,2016,4,3123
13,13,23,2016,5,4127
13,13,23,2016,6,4139
13,13,23,2016,7,4545
13,13,23,2016,8,5080
13,13,23,2016,9,5846
13,13,23,2016,10,6598
13,13,23,2016,11,6083
13,13,23,2016,12,6672
13,13,23,2017,1,6333
13,13,23,2017,2,6792
13,13,23,2017,3,5862
13,13,23,2017,4,4846
13,13,23,2017,5,5463
13,13,23,2017,6,5674
13,13,23,2017,7,5340
13,13,23,2017,8,5036
13,13,23,2017,9,5230
13,13,23,2017,10,6573
13,13,23,2017,11,13888
13,13,23,2017,12,19776
13,13,21,2016,1,13080
13,13,21,2016,2,15873
13,13,21,2016,3,12101
13,13,21,2016,4,11050
13,13,21,2016,5,10777
13,13,21,2016,6,10257
13,13,21,2016,7,11847
13,13,21,2016,8,12010
13,13,21,2016,9,12968
13,13,21,2016,10,13582
13,13,21,2016,11,11790
13,13,21,2016,12,12753
13,13,21,2017,1,12489
13,13,21,2017,2,12404
13,13,21,2017,3,10270
13,13,21,2017,4,9386
13,13,21,2017,5,11613
13,13,21,2017,6,11113
13,13,21,2017,7,10412
13,13,21,2017,8,11029
13,13,21,2017,9,11189
13,13,21,2017,10,11077
13,13,21,2017,11,14416
13,13,21,2017,12,17894
13,13,3,2016,1,1677
13,13,3,2016,2,1892
13,13,3,2016,3,1634
13,13,3,2016,4,1468
13,13,3,2016,5,1424
13,13,3,2016,6,1318
13,13,3,2016,7,1344
13,13,3,2016,8,1422
13,13,3,2016,9,1652
13,13,3,2016,10,1924
13,13,3,2016,11,1935
13,13,3,2016,12,2451
13,13,3,2017,1,2245
13,13,3,2017,2,2475
13,13,3,2017,3,1893
13,13,3,2017,4,1663
13,13,3,2017,5,2049
13,13,3,2017,6,2140
13,13,3,2017,7,2005
13,13,3,2017,8,2191
13,13,3,2017,9,2339
13,13,3,2017,10,2606
13,13,3,2017,11,2533
13,13,3,2017,12,2802
13,13,9,2016,1,5788
13,13,9,2016,2,6361
13,13,9,2016,3,4948
13,13,9,2016,4,7206
13,13,9,2016,5,6127
13,13,9,2016,6,6656
13,13,9,2016,7,6558
13,13,9,2016,8,7677
13,13,9,2016,9,10288
13,13,9,2016,10,12117
13,13,9,2016,11,11229
13,13,9,2016,12,11086
13,13,9,2017,1,11240
13,13,9,2017,2,11909
13,13,9,2017,3,12056
13,13,9,2017,4,12270
13,13,9,2017,5,12408
13,13,9,2017,6,11176
13,13,9,2017,7,7584
13,13,9,2017,8,7508
13,13,9,2017,9,5684
13,13,9,2017,10,6615
13,13,9,2017,11,8635
13,13,9,2017,12,14454
13,13,45,2016,1,3207
13,13,45,2016,2,3366
13,13,45,2016,3,2330
13,13,45,2016,4,1666
13,13,45,2016,5,1726
13,13,45,2016,6,1560
13,13,45,2016,7,1564
13,13,45,2016,8,1642
13,13,45,2016,9,1677
13,13,45,2016,10,1819
13,13,45,2016,11,1675
13,13,45,2016,12,1677
13,13,45,2017,1,1482
13,13,45,2017,2,1509
13,13,45,2017,3,1315
13,13,45,2017,4,998
13,13,45,2017,5,1104
13,13,45,2017,6,1085
13,13,45,2017,7,896
13,13,45,2017,8,999
13,13,45,2017,9,1003
13,13,45,2017,10,988
13,13,45,2017,11,884
13,13,45,2017,12,984
13,13,14,2016,1,3728
13,13,14,2016,2,4067
13,13,14,2016,3,3147
13,13,14,2016,4,2877
13,13,14,2016,5,3097
13,13,14,2016,6,2924
13,13,14,2016,7,2976
13,13,14,2016,8,2990
13,13,14,2016,9,3792
13,13,14,2016,10,4124
13,13,14,2016,11,3711
13,13,14,2016,12,4417
13,13,14,2017,1,4332
13,13,14,2017,2,5039
13,13,14,2017,3,3859
13,13,14,2017,4,3426
13,13,14,2017,5,3821
13,13,14,2017,6,4039
13,13,14,2017,7,3890
13,13,14,2017,8,4093
13,13,14,2017,9,4243
13,13,14,2017,10,4781
13,13,14,2017,11,5405
13,13,14,2017,12,5892
13,13,8,2016,1,1464
13,13,8,2016,2,1720
13,13,8,2016,3,1187
13,13,8,2016,4,1188
13,13,8,2016,5,1470
13,13,8,2016,6,1170
13,13,8,2016,7,998
13,13,8,2016,8,1021
13,13,8,2016,9,1101
13,13,8,2016,10,1201
13,13,8,2016,11,1103
13,13,8,2016,12,1191
13,13,8,2017,1,1342
13,13,8,2017,2,1467
13,13,8,2017,3,1373
13,13,8,2017,4,1232
13,13,8,2017,5,1364
13,13,8,2017,6,1457
13,13,8,2017,7,1364
13,13,8,2017,8,1357
13,13,8,2017,9,1743
13,13,8,2017,10,1728
13,13,8,2017,11,1499
13,13,8,2017,12,2539
13,13,57,2016,1,9062
13,13,57,2016,2,9175
13,13,57,2016,3,6144
13,13,57,2016,4,5105
13,13,57,2016,5,5182
13,13,57,2016,6,4691
13,13,57,2016,7,5072
13,13,57,2016,8,5812
13,13,57,2016,9,6440
13,13,57,2016,10,6952
13,13,57,2016,11,6391
13,13,57,2016,12,6196
13,13,57,2017,1,5682
13,13,57,2017,2,5551
13,13,57,2017,3,3832
13,13,57,2017,4,2540
13,13,57,2017,5,2838
13,13,57,2017,6,3070
13,13,57,2017,7,2617
13,13,57,2017,8,2895
13,13,57,2017,9,3944
13,13,57,2017,10,3294
13,13,57,2017,11,3406
13,13,57,2017,12,3491
13,13,31,2016,1,3581
13,13,31,2016,2,3955
13,13,31,2016,3,2570
13,13,31,2016,4,2367
13,13,31,2016,5,2652
13,13,31,2016,6,2562
13,13,31,2016,7,2687
13,13,31,2016,8,2785
13,13,31,2016,9,3304
13,13,31,2016,10,3548
13,13,31,2016,11,3629
13,13,31,2016,12,3819
13,13,31,2017,1,3619
13,13,31,2017,2,3686
13,13,31,2017,3,3729
13,13,31,2017,4,3210
13,13,31,2017,5,3670
13,13,31,2017,6,3445
13,13,31,2017,7,3134
13,13,31,2017,8,3254
13,13,31,2017,9,3415
13,13,31,2017,10,3618
13,13,31,2017,11,3185
13,13,31,2017,12,3135
13,13,32,2016,1,671
13,13,32,2016,2,543
13,13,32,2016,3,455
13,13,32,2016,4,400
13,13,32,2016,5,335
13,13,32,2016,6,335
13,13,32,2016,7,268
