model,regYear,regMonth,carCommentVolum,newsReplyVolum
0,2016,1,132,399
0,2016,2,160,3043
0,2016,3,357,798
0,2016,4,243,3821
0,2016,5,283,933
0,2016,6,252,143
0,2016,7,557,623
0,2016,8,652,1809
0,2016,9,506,1033
0,2016,10,649,4699
0,2016,11,436,1948
0,2016,12,361,1283
0,2017,1,375,774
0,2017,2,483,2156
0,2017,3,848,2144
0,2017,4,380,310
0,2017,5,554,2579
0,2017,6,310,546
0,2017,7,626,132
0,2017,8,843,2982
0,2017,9,1058,378
0,2017,10,784,1947
0,2017,11,608,1113
0,2017,12,403,2037
1,2016,1,6,99
1,2016,2,6,1607
1,2016,3,4,3887
1,2016,4,11,1695
1,2016,5,21,1141
1,2016,6,18,335
1,2016,7,36,2934
1,2016,8,33,992
1,2016,9,63,613
1,2016,10,46,2150
1,2016,11,49,910
1,2016,12,46,1979
1,2017,1,59,1337
1,2017,2,80,851
1,2017,3,94,107
1,2017,4,81,513
1,2017,5,84,96
1,2017,6,95,70
1,2017,7,106,85
1,2017,8,149,56
1,2017,9,160,2214
1,2017,10,190,1291
1,2017,11,137,40
1,2017,12,105,500
2,2016,1,3,675
2,2016,2,7,1124
2,2016,3,12,305
2,2016,4,28,137
2,2016,5,19,106
2,2016,6,32,2034
2,2016,7,37,89
2,2016,8,52,593
2,2016,9,47,817
2,2016,10,74,1756
2,2016,11,56,1214
2,2016,12,53,235
2,2017,1,63,766
2,2017,2,124,605
2,2017,3,95,2440
2,2017,4,138,2473
2,2017,5,178,368
2,2017,6,155,52
2,2017,7,185,110
2,2017,8,256,48
2,2017,9,372,9
2,2017,10,260,25
2,2017,11,209,2
2,2017,12,143,10
3,2016,1,9,4481
3,2016,2,13,5941
3,2016,3,26,2454
3,2016,4,68,3129
3,2016,5,155,2338
3,2016,6,215,1618
3,2016,7,233,3710
3,2016,8,195,2851
3,2016,9,234,3166
3,2016,10,258,3773
3,2016,11,213,1410
3,2016,12,190,1743
3,2017,1,147,2451
3,2017,2,215,956
3,2017,3,392,1833
3,2017,4,339,1492
3,2017,5,578,1469
3,2017,6,475,3989
3,2017,7,583,4098
3,2017,8,793,3667
3,2017,9,1082,2613
3,2017,10,1251,1870
3,2017,11,1170,1703
3,2017,12,851,1341
4,2016,1,223,43
4,2016,2,232,43
4,2016,3,270,725
4,2016,4,354,1887
4,2016,5,492,1598
4,2016,6,383,1128
4,2016,7,666,688
4,2016,8,431,90
4,2016,9,559,68
4,2016,10,778,64
4,2016,11,267,630
4,2016,12,263,71
4,2017,1,136,946
4,2017,2,251,81
4,2017,3,260,1480
4,2017,4,159,3582
4,2017,5,547,200
4,2017,6,358,2201
4,2017,7,323,5774
4,2017,8,543,14274
4,2017,9,449,8920
4,2017,10,495,7600
4,2017,11,607,6000
4,2017,12,601,838
5,2016,1,20,23
5,2016,2,22,14
5,2016,3,16,10
5,2016,4,17,27
5,2016,5,20,131
5,2016,6,20,55
5,2016,7,22,9
5,2016,8,38,11
5,2016,9,25,30
5,2016,10,29,26
5,2016,11,25,307
5,2016,12,26,8
5,2017,1,17,14
5,2017,2,24,19
5,2017,3,54,17
5,2017,4,13,2230
5,2017,5,8,611
5,2017,6,11,744
5,2017,7,82,690
5,2017,8,24,124
5,2017,9,28,9
5,2017,10,21,1167
5,2017,11,87,8006
5,2017,12,201,3302
6,2016,1,0,0
6,2016,2,0,0
6,2016,3,0,0
6,2016,4,1,0
6,2016,5,0,0
6,2016,6,4,0
6,2016,7,0,0
6,2016,8,2,0
6,2016,9,1,0
6,2016,10,1,0
6,2016,11,5,0
6,2016,12,0,0
6,2017,1,2,0
6,2017,2,4,0
6,2017,3,11,0
6,2017,4,12,3786
6,2017,5,12,2336
6,2017,6,15,564
6,2017,7,16,1498
6,2017,8,30,3824
6,2017,9,45,369
6,2017,10,65,3907
6,2017,11,67,3403
6,2017,12,63,304
7,2016,1,65,469
7,2016,2,53,675
7,2016,3,74,1784
7,2016,4,109,1422
7,2016,5,280,676
7,2016,6,223,33
7,2016,7,325,23
7,2016,8,401,25
7,2016,9,263,22
7,2016,10,246,27
7,2016,11,229,876
7,2016,12,302,21
7,2017,1,167,13
7,2017,2,174,224
7,2017,3,161,20
7,2017,4,110,22
7,2017,5,438,196
7,2017,6,173,727
7,2017,7,299,152
7,2017,8,176,21
7,2017,9,166,293
7,2017,10,279,263
7,2017,11,383,68
7,2017,12,281,33
8,2016,1,6,10690
8,2016,2,7,2598
8,2016,3,24,4355
8,2016,4,14,258
8,2016,5,19,216
8,2016,6,49,1534
8,2016,7,35,1175
8,2016,8,81,3635
8,2016,9,99,1034
8,2016,10,81,2342
8,2016,11,111,1756
8,2016,12,115,162
8,2017,1,83,68
8,2017,2,193,2569
8,2017,3,232,103
8,2017,4,231,478
